City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
325,hotan,37.0997,79.9269,20.59,39,100,2.2,CN,1717880058
326,nadym,65.5333,72.5167,6.09,74,2,4.15,RU,1717880059
327,harper,4.375,-7.7169,25.92,83,69,3.41,LR,1717880059
328,tuapse,44.1125,39.0742,20.19,75,97,2.27,RU,1717880059
329,san carlos del zulia,9.0,-71.9135,33.65,54,49,4.29,VE,1717880059
330,inarajan village,13.2736,144.7484,28.55,92,76,4.07,GU,1717880059
331,antonio enes,-16.2325,39.9086,23.75,84,31,6.84,MZ,1717880059
332,balangiga,11.1097,125.3875,26.08,88,99,1.91,PH,1717880060
333,tonghae,37.5439,129.1069,18.07,89,100,2.23,KR,1717880060
334,vidalia,32.2177,-82.4135,32.97,25,0,0.0,US,1717880060
335,bakanas,44.8081,76.2772,24.57,45,45,3.04,KZ,1717880060
336,masvingo,-20.0637,30.8277,10.49,81,8,4.86,ZW,1717880060
337,san matias,-16.3667,-58.4,31.93,25,1,3.28,BO,1717880061
338,leh,34.1667,77.5833,4.97,52,33,1.85,IN,1717880061
339,chegdomyn,51.1167,133.0167,12.16,92,96,1.38,RU,1717880061
340,thunder bay,48.4001,-89.3168,20.99,40,75,5.14,CA,1717880061
341,hobyo,5.3505,48.5268,26.97,79,97,10.79,SO,1717880061
342,bantogon,6.5333,124.0333,26.11,78,100,1.78,PH,1717880061
343,nova sintra,14.8667,-24.7167,24.39,81,0,5.42,CV,1717880061
344,sola,-13.8833,167.55,26.31,80,99,9.71,VU,1717880062
345,ceeldheer,3.8488,47.1806,25.9,80,100,8.3,SO,1717880062
346,mana,5.6592,-53.7767,27.98,77,14,3.8,GF,1717880062
347,margate,51.3813,1.3862,14.83,67,0,1.34,GB,1717880062
348,kodinsk,58.6881,99.1844,11.91,62,100,2.58,RU,1717880062
349,vidyayevo,69.3191,32.8049,3.35,89,98,7.45,RU,1717880062
350,navia,43.5354,-6.7194,14.47,99,100,2.45,ES,1717880063
351,ust-tsilma,65.441,52.1498,10.34,58,100,2.68,RU,1717880063
352,mili,6.0815,171.735,28.64,78,90,5.64,MH,1717880063
353,coquimbo,-29.9533,-71.3436,15.85,80,75,3.6,CL,1717880063
354,kapoeta,4.7717,33.5903,25.11,70,87,1.84,SS,1717880063
355,freetown,8.484,-13.2299,26.84,78,75,2.06,SL,1717880063
356,callao,-12.0667,-77.15,26.34,77,100,6.17,PE,1717880064
357,gaigeturi,33.4644,126.3183,19.03,100,75,5.14,KR,1717880064
358,pandan,14.0453,124.1694,26.9,84,86,0.84,PH,1717880064
359,leava,-14.3,-178.1667,27.45,75,100,11.3,WF,1717880064
360,conceicao do mato dentro,-19.0372,-43.425,18.79,70,2,1.8,BR,1717880064
361,ifakara,-8.1333,36.6833,23.21,57,82,1.15,TZ,1717880064
362,weno,7.4515,151.8468,26.97,94,100,3.09,FM,1717880065
363,guatrache,-37.6678,-63.5302,18.39,88,100,3.59,AR,1717880065
364,doschatoye,55.3825,42.1072,12.61,80,20,1.24,RU,1717880065
